annual_income_k,spending_score,cluster
33.97,33.58,2
28.89,35.61,2
35.18,40.83,2
42.18,40.54,2
28.13,16.22,2
28.13,20.62,2
42.63,35.15,2
36.14,35.14,2
26.24,35.15,2
34.34,68.53,2
26.29,35.71,2
26.27,41.36,2
31.94,39.54,2
14.69,36.51,2
16.2,26.85,2
25.5,37.59,2
21.9,22.27,2
32.51,27.63,2
22.74,25.15,2
18.7,30.82,2
41.73,53.15,2
28.19,11.33,2
30.54,36.86,2
18.6,13.87,2
25.64,25.28,2
30.89,40.89,2
20.79,30.64,2
33.01,19.22,2
25.19,22.85,2
27.67,36.8,2
25.19,22.7,2
44.82,32.16,2
29.89,30.46,2
21.54,23.48,2
36.58,51.44,2
20.23,36.34,2
31.67,9.75,2
14.32,31.86,2
19.37,23.38,2
31.57,38.52,2
35.91,22.07,2
31.37,28.85,2
29.07,35.05,2
27.59,38.66,2
18.17,18.0,2
24.24,26.65,2
26.31,25.25,2
38.46,23.47,2
32.75,47.65,2
15.9,34.05,2
32.59,17.39,2
26.92,39.18,2
24.58,51.22,2
34.89,40.32,2
38.25,14.81,2
37.45,25.16,2
23.29,42.67,2
27.53,22.92,2
32.65,34.44,2
37.8,37.75,2
26.17,20.73,2
28.51,29.4,2
21.15,1.0,2
20.43,19.76,2
36.5,27.47,2
40.85,17.52,2
29.42,46.32,2
38.03,15.7,2
32.89,25.6,2
24.84,31.31,2
32.89,44.41,2
42.3,15.64,2
29.71,41.63,2
42.52,30.1,2
10.0,20.18,2
36.58,34.62,2
30.7,31.99,2
27.61,24.0,2
30.73,30.7,2
14.1,26.15,2
28.24,31.14,2
32.86,36.62,2
41.82,45.86,2
25.85,17.62,2
23.53,51.33,2
25.99,10.48,2
37.32,28.48,2
32.63,35.88,2
25.76,32.81,2
34.11,23.77,2
30.78,27.92,2
37.75,25.07,2
24.38,24.11,2
27.38,38.5,2
26.86,33.57,2
18.29,23.07,2
32.37,39.0,2
32.09,33.07,2
30.04,38.13,2
28.12,36.3,2
18.68,21.71,2
26.63,24.4,2
27.26,37.47,2
23.58,36.1,2
28.71,29.79,2
33.23,31.17,2
45.09,42.78,2
31.4,24.08,2
32.06,35.47,2
29.4,27.98,2
14.65,27.82,2
29.79,40.99,2
30.48,38.25,2
49.71,38.14,2
28.46,43.05,2
32.41,30.21,2
29.72,36.82,2
20.65,26.9,2
39.14,33.24,2
36.02,28.7,2
36.33,30.97,2
22.72,35.95,2
41.22,21.82,2
18.79,50.92,2
34.69,19.94,2
47.52,17.86,2
22.08,41.58,2
25.47,37.92,2
30.8,36.24,2
25.97,36.28,2
17.59,29.88,2
30.55,21.03,2
21.5,30.76,2
33.79,23.23,2
22.64,39.75,2
42.4,28.53,2
23.73,21.75,2
27.42,26.79,2
36.51,34.13,2
20.15,24.36,2
31.82,21.78,2
40.46,32.44,2
17.14,32.45,2
31.48,24.93,2
32.08,25.29,2
36.25,32.32,2
20.1,15.52,2
19.44,15.93,2
34.18,22.82,2
32.38,27.87,2
32.0,33.11,2
32.77,44.75,2
24.56,38.58,2
31.86,28.4,2
32.34,29.81,2
24.29,19.97,2
44.93,29.81,2
33.79,27.11,2
20.47,33.23,2
35.25,21.73,2
22.2,35.19,2
36.3,45.33,2
39.27,28.91,2
23.43,34.02,2
37.71,36.9,2
33.3,25.99,2
36.58,32.24,2
45.17,30.13,2
28.04,30.98,2
23.97,22.27,2
22.88,30.25,2
23.47,34.98,2
29.38,44.51,2
32.73,39.59,2
32.21,51.53,2
36.62,22.33,2
30.1,38.72,2
41.63,31.83,2
27.88,51.9,2
51.76,21.92,0
35.01,21.6,2
23.14,24.01,2
21.43,8.76,2
33.86,24.74,2
28.21,22.41,2
35.71,31.5,2
33.79,33.42,2
29.42,48.76,2
23.23,39.5,2
17.88,24.23,2
26.43,21.02,2
36.85,34.92,2
31.71,16.8,2
20.03,48.31,2
31.39,41.79,2
33.08,25.31,2
22.93,12.87,2
31.23,43.54,2
30.47,28.85,2
20.86,42.38,2
55.87,82.57,1
67.81,65.78,1
75.06,83.7,1
75.56,88.56,1
69.6,79.13,1
82.47,93.77,1
62.19,67.26,1
73.29,62.55,1
76.44,57.21,1
81.17,89.96,1
83.54,81.54,1
61.5,74.44,1
56.59,77.8,1
90.33,63.75,1
78.99,99.46,1
66.02,76.29,1
93.61,76.09,1
76.39,82.26,1
89.15,79.81,1
75.81,77.24,1
99.73,67.1,1
96.06,79.71,1
72.01,93.82,1
86.66,88.45,1
82.74,90.93,1
91.42,69.89,1
63.42,65.1,1
83.23,73.74,1
87.7,75.56,1
53.9,85.94,1
60.8,58.08,1
50.53,90.3,1
71.77,73.42,1
83.61,70.73,1
93.03,64.88,1
75.89,58.45,1
94.54,83.23,1
58.44,75.73,1
54.56,62.1,1
74.33,62.05,1
79.61,71.64,1
74.61,91.69,1
50.19,72.4,1
73.93,59.97,1
59.35,72.54,1
83.04,72.27,1
79.4,48.03,0
63.72,74.46,1
68.83,72.69,1
62.29,81.96,1
74.25,93.49,1
86.46,86.27,1
63.17,72.31,1
81.05,63.93,1
68.64,100.0,1
65.49,75.59,1
73.72,75.14,1
62.58,74.76,1
68.36,76.98,1
60.63,73.56,1
98.58,69.26,1
75.42,69.53,1
66.6,74.67,1
77.57,69.57,1
73.65,67.87,1
72.35,76.06,1
82.37,72.45,1
84.09,90.04,1
68.63,48.49,0
68.09,85.92,1
71.7,87.46,1
47.38,54.27,2
56.82,71.57,1
91.4,71.29,1
94.74,60.92,1
72.01,67.22,1
81.92,63.89,1
78.74,92.52,1
111.95,84.36,1
88.43,87.72,1
73.46,82.22,1
63.53,63.71,1
55.72,69.75,1
77.44,79.89,1
65.92,62.78,1
57.93,82.13,1
67.24,72.6,1
62.02,71.25,1
95.25,82.11,1
85.58,79.44,1
74.9,71.39,1
92.76,86.59,1
75.93,64.19,1
64.66,81.16,1
93.28,80.93,1
81.47,71.9,1
62.55,78.26,1
72.72,62.49,1
64.49,84.24,1
58.41,73.15,1
86.11,69.77,1
97.91,85.49,1
58.22,67.96,1
81.76,60.92,1
67.19,59.43,1
69.15,81.06,1
67.89,62.2,1
64.63,92.55,1
75.58,54.18,1
65.03,91.96,1
78.25,77.11,1
74.4,74.03,1
72.13,69.55,1
64.11,78.99,1
68.08,74.62,1
84.06,86.03,1
81.01,76.14,1
63.27,76.5,1
76.19,71.36,1
84.02,74.43,1
54.97,78.08,1
81.52,57.9,1
67.05,61.52,1
81.85,82.43,1
65.84,76.71,1
53.34,73.16,1
55.47,75.18,1
75.58,78.48,1
78.12,69.6,1
64.15,67.22,1
82.66,76.96,1
55.06,65.22,1
74.21,79.08,1
60.47,57.97,1
67.18,85.29,1
75.57,79.73,1
64.68,77.56,1
70.39,84.83,1
87.08,91.65,1
68.08,85.14,1
85.03,56.59,1
61.44,62.2,1
81.36,68.75,1
92.3,75.26,1
45.34,80.18,1
65.44,67.74,1
81.92,76.87,1
72.56,67.45,1
79.45,68.88,1
67.75,60.93,1
76.04,65.77,1
73.13,61.48,1
89.01,65.24,1
78.05,85.54,1
79.05,65.51,1
70.06,100.0,1
69.15,79.93,1
69.81,76.85,1
79.73,66.42,1
69.95,82.0,1
78.48,69.24,1
99.9,76.22,1
85.45,100.0,1
71.09,74.04,1
89.41,86.49,1
70.1,67.97,1
50.54,74.65,1
62.9,92.71,1
52.55,68.73,1
70.78,93.12,1
75.22,82.08,1
95.12,69.38,1
78.92,81.32,1
72.37,84.73,1
84.95,81.22,1
48.47,59.3,1
77.83,67.73,1
84.25,72.52,1
57.26,74.26,1
88.73,81.21,1
79.06,76.78,1
70.02,61.65,1
82.59,78.8,1
102.25,81.11,1
77.18,80.6,1
77.98,85.81,1
69.49,83.34,1
64.8,79.59,1
84.96,74.3,1
64.73,58.39,1
75.86,79.3,1
69.27,77.08,1
80.75,77.72,1
79.0,62.23,1
87.45,64.19,1
68.88,85.53,1
71.76,74.6,1
63.25,81.82,1
69.67,75.28,1
79.53,75.3,1
81.26,43.99,0
63.81,39.25,0
71.15,30.6,0
64.45,23.53,0
64.79,36.98,0
66.29,33.93,0
72.67,38.95,0
64.26,36.35,0
85.07,40.5,0
59.26,24.65,0
67.76,43.17,0
64.72,31.98,0
87.36,50.75,0
72.36,23.11,0
82.38,47.36,0
52.17,31.98,0
73.2,23.49,0
80.68,25.16,0
70.99,26.8,0
82.79,34.24,0
63.79,35.23,0
86.91,24.26,0
97.59,29.76,0
65.65,51.42,0
64.65,47.28,0
87.44,34.36,0
88.95,30.38,0
63.73,31.2,0
64.96,36.14,0
66.62,19.77,0
53.87,27.43,0
58.98,13.31,0
57.95,33.99,0
60.79,36.47,0
69.58,25.17,0
72.81,45.74,0
88.61,17.74,0
58.02,15.36,0
81.81,32.24,0
67.43,40.47,0
69.41,46.84,0
78.1,25.41,0
56.53,40.79,0
74.59,29.61,0
72.0,28.27,0
75.91,38.84,0
73.47,36.52,0
99.46,14.24,0
62.35,44.77,0
63.63,43.8,0
62.52,23.74,0
63.33,33.96,0
62.35,34.94,0
84.27,32.61,0
87.05,24.5,0
63.15,23.28,0
60.01,29.74,0
75.66,41.73,0
63.37,35.44,0
77.6,26.29,0
72.44,37.72,0
51.81,1.51,0
88.57,41.49,0
91.55,12.6,0
62.65,26.38,0
65.35,18.8,0
73.43,17.05,0
74.01,41.61,0
77.9,25.32,0
94.12,33.47,0
67.88,29.53,0
60.42,34.77,0
53.45,30.77,0
61.23,17.17,0
69.6,39.96,0
91.53,25.06,0
63.79,14.43,0
72.69,25.72,0
69.8,45.01,0
84.26,38.5,0
100.32,26.51,0
63.63,26.51,0
64.13,26.78,0
82.53,50.77,0
78.18,33.82,0
92.16,34.3,0
77.01,40.3,0
65.69,32.39,0
77.09,27.41,0
83.3,28.04,0
79.85,29.28,0
76.09,29.63,0
82.8,37.28,0
84.03,30.52,0
86.59,37.33,0
77.78,29.19,0
67.99,30.79,0
71.76,10.02,0
84.48,39.16,0
60.2,33.46,0
74.42,39.98,0
65.28,1.04,0
70.34,50.88,0
85.34,28.6,0
72.29,41.08,0
70.56,19.6,0
53.68,36.13,0
78.96,19.47,0
77.75,23.76,0
95.96,49.14,0
66.31,28.09,0
72.63,32.17,0
72.99,38.7,0
