annual_income_k,spending_score,cluster
10.0,20.18,1
14.1,26.15,1
14.32,31.86,1
14.65,27.82,1
14.69,36.51,1
15.9,34.05,1
16.2,26.85,1
17.14,32.45,1
17.59,29.88,1
17.88,24.23,1
18.17,18.0,1
18.29,23.07,1
18.6,13.87,1
18.68,21.71,1
18.7,30.82,1
18.79,50.92,1
19.37,23.38,1
19.44,15.93,1
20.03,48.31,1
20.1,15.52,1
20.15,24.36,1
20.23,36.34,1
20.43,19.76,1
20.47,33.23,1
20.65,26.9,1
20.79,30.64,1
20.86,42.38,1
21.15,1.0,1
21.43,8.76,1
21.5,30.76,1
21.54,23.48,1
21.9,22.27,1
22.08,41.58,1
22.2,35.19,1
22.64,39.75,1
22.72,35.95,1
22.74,25.15,1
22.88,30.25,1
22.93,12.87,1
23.14,24.01,1
23.23,39.5,1
23.29,42.67,1
23.43,34.02,1
23.47,34.98,1
23.53,51.33,1
23.58,36.1,1
23.73,21.75,1
23.97,22.27,1
24.24,26.65,1
24.29,19.97,1
24.38,24.11,1
24.56,38.58,1
24.58,51.22,1
24.84,31.31,1
25.19,22.7,1
25.19,22.85,1
25.47,37.92,1
25.5,37.59,1
25.64,25.28,1
25.76,32.81,1
25.85,17.62,1
25.97,36.28,1
25.99,10.48,1
26.17,20.73,1
26.24,35.15,1
26.27,41.36,1
26.29,35.71,1
26.31,25.25,1
26.43,21.02,1
26.63,24.4,1
26.86,33.57,1
26.92,39.18,1
27.26,37.47,1
27.38,38.5,1
27.42,26.79,1
27.53,22.92,1
27.59,38.66,1
27.61,24.0,1
27.67,36.8,1
27.88,51.9,1
28.04,30.98,1
28.12,36.3,1
28.13,16.22,1
28.13,20.62,1
28.19,11.33,1
28.21,22.41,1
28.24,31.14,1
28.46,43.05,1
28.51,29.4,1
28.71,29.79,1
28.89,35.61,1
29.07,35.05,1
29.38,44.51,1
29.4,27.98,1
29.42,46.32,1
29.42,48.76,1
29.71,41.63,1
29.72,36.82,1
29.79,40.99,1
29.89,30.46,1
30.04,38.13,1
30.1,38.72,1
30.47,28.85,1
30.48,38.25,1
30.54,36.86,1
30.55,21.03,1
30.7,31.99,1
30.73,30.7,1
30.78,27.92,1
30.8,36.24,1
30.89,40.89,1
31.23,43.54,1
31.37,28.85,1
31.39,41.79,1
31.4,24.08,1
31.48,24.93,1
31.57,38.52,1
31.67,9.75,1
31.71,16.8,1
31.82,21.78,1
31.86,28.4,1
31.94,39.54,1
32.0,33.11,1
32.06,35.47,1
32.08,25.29,1
32.09,33.07,1
32.21,51.53,1
32.34,29.81,1
32.37,39.0,1
32.38,27.87,1
32.41,30.21,1
32.51,27.63,1
32.59,17.39,1
32.63,35.88,1
32.65,34.44,1
32.73,39.59,1
32.75,47.65,1
32.77,44.75,1
32.86,36.62,1
32.89,25.6,1
32.89,44.41,1
33.01,19.22,1
33.08,25.31,1
33.23,31.17,1
33.3,25.99,1
33.79,23.23,1
33.79,27.11,1
33.79,33.42,1
33.86,24.74,1
33.97,33.58,1
34.11,23.77,1
34.18,22.82,1
34.34,68.53,1
34.69,19.94,1
34.89,40.32,1
35.01,21.6,1
35.18,40.83,1
35.25,21.73,1
35.71,31.5,1
35.91,22.07,1
36.02,28.7,1
36.14,35.14,1
36.25,32.32,1
36.3,45.33,1
36.33,30.97,1
36.5,27.47,1
36.51,34.13,1
36.58,32.24,1
36.58,34.62,1
36.58,51.44,1
36.62,22.33,1
36.85,34.92,1
37.32,28.48,1
37.45,25.16,1
37.71,36.9,1
37.75,25.07,1
37.8,37.75,1
38.03,15.7,1
38.25,14.81,1
38.46,23.47,1
39.14,33.24,1
39.27,28.91,1
40.46,32.44,1
40.85,17.52,1
40.91,29.02,1
41.22,21.82,1
41.63,31.83,1
41.73,53.15,1
41.82,45.86,1
42.18,40.54,1
42.3,15.64,1
42.4,28.53,1
42.52,30.1,1
42.63,35.15,1
43.61,34.54,1
44.82,32.16,1
44.93,29.81,1
45.09,42.78,1
45.17,30.13,1
45.34,80.18,0
45.5,16.66,1
47.33,27.19,1
47.38,54.27,1
47.52,17.86,1
48.47,59.3,0
49.71,38.14,1
50.19,72.4,0
50.53,90.3,0
50.54,74.65,0
50.99,20.11,1
51.69,19.04,2
51.72,18.54,2
51.76,21.92,2
51.81,1.51,2
52.17,31.98,2
52.55,68.73,0
52.62,46.14,2
52.83,38.53,2
53.34,73.16,0
53.45,30.77,2
53.68,36.13,2
53.87,27.43,2
53.9,85.94,0
54.56,62.1,0
54.64,27.02,2
54.97,78.08,0
54.98,23.61,2
55.06,65.22,0
55.47,75.18,0
55.72,69.75,0
55.87,82.57,0
56.1,39.41,2
56.53,40.79,2
56.59,77.8,0
56.82,71.57,0
57.16,30.16,2
57.26,74.26,0
57.68,41.87,2
57.75,41.89,2
57.93,82.13,0
57.95,33.99,2
57.98,14.07,2
58.02,15.36,2
58.22,67.96,0
58.4,39.18,2
58.41,73.15,0
58.44,75.73,0
58.98,13.31,2
59.26,24.65,2
59.35,72.54,0
60.01,29.74,2
60.2,33.46,2
60.42,34.77,2
60.47,57.97,0
60.63,73.56,0
60.79,36.47,2
60.8,58.08,0
61.23,17.17,2
61.44,62.2,0
61.5,74.44,0
61.6,18.57,2
61.7,15.6,2
61.82,33.2,2
61.83,32.81,2
61.88,43.84,2
62.02,71.25,0
62.17,29.37,2
62.19,67.26,0
62.29,81.96,0
62.35,34.94,2
62.35,44.77,2
62.52,23.74,2
62.55,78.26,0
62.58,74.76,0
62.65,26.38,2
62.9,92.71,0
63.15,23.28,2
63.15,32.24,2
63.17,72.31,0
63.23,37.01,2
63.25,81.82,0
63.27,76.5,0
63.29,33.03,2
63.33,33.96,2
63.34,33.21,2
63.37,35.44,2
63.42,65.1,0
63.53,63.71,0
63.63,26.51,2
63.63,43.8,2
63.72,74.46,0
63.73,31.2,2
63.79,14.43,2
63.79,35.23,2
63.81,39.25,2
63.98,39.64,2
64.11,78.99,0
64.13,26.78,2
64.15,67.22,0
64.26,36.35,2
64.45,23.53,2
64.49,84.24,0
64.57,13.07,2
64.63,92.55,0
64.64,32.01,2
64.65,22.46,2
64.65,47.28,2
64.66,81.16,0
64.68,77.56,0
64.72,31.98,2
64.73,58.39,0
64.79,36.98,2
64.8,79.59,0
64.96,36.14,2
65.03,91.96,0
65.28,1.04,2
65.35,18.8,2
65.44,67.74,0
65.49,75.59,0
65.65,51.42,2
65.69,32.39,2
65.84,76.71,0
65.92,62.78,0
66.02,76.29,0
66.29,33.93,2
66.31,28.09,2
66.6,74.67,0
66.62,19.77,2
66.63,34.4,2
67.03,23.99,2
67.05,61.52,0
67.11,20.09,2
67.18,85.29,0
67.19,59.43,0
67.24,72.6,0
67.35,35.5,2
67.43,40.47,2
67.75,60.93,0
67.76,43.17,2
67.81,65.78,0
67.88,29.53,2
67.89,62.2,0
67.99,30.79,2
68.08,74.62,0
68.08,85.14,0
68.09,85.92,0
68.36,76.98,0
68.63,48.49,2
68.64,100.0,0
68.81,31.26,2
68.83,72.69,0
68.86,31.5,2
68.88,85.53,0
68.92,40.23,2
69.01,46.42,2
69.15,79.93,0
69.15,81.06,0
69.21,33.29,2
69.27,77.08,0
69.41,46.84,2
69.43,14.29,2
69.45,45.95,2
69.49,83.34,0
69.52,35.95,2
69.58,25.17,2
69.6,39.96,2
69.6,79.13,0
69.67,75.28,0
69.8,45.01,2
69.81,76.85,0
69.95,82.0,0
69.96,20.1,2
70.02,61.65,0
70.06,100.0,0
70.1,67.97,0
70.32,20.32,2
70.34,50.88,2
70.39,84.83,0
70.56,19.6,2
70.78,93.12,0
70.99,26.8,2
71.09,74.04,0
71.15,30.6,2
71.54,37.59,2
71.6,36.39,2
71.7,87.46,0
71.76,10.02,2
71.76,74.6,0
71.77,73.42,0
72.0,28.27,2
72.01,67.22,0
72.01,93.82,0
72.13,69.55,0
72.24,29.42,2
72.29,41.08,2
72.33,40.51,2
72.35,76.06,0
72.36,16.1,2
72.36,23.11,2
72.37,84.73,0
72.44,37.72,2
72.5,31.05,2
72.56,67.45,0
72.63,32.17,2
72.67,38.95,2
72.69,25.72,2
72.72,62.49,0
72.81,45.74,2
72.92,21.53,2
72.93,35.97,2
72.99,38.7,2
73.13,61.48,0
73.2,23.49,2
73.29,62.55,0
73.35,33.65,2
73.43,17.05,2
73.46,82.22,0
73.47,36.52,2
73.65,67.87,0
73.72,75.14,0
73.93,59.97,0
74.01,41.61,2
74.11,23.12,2
74.21,79.08,0
74.22,8.47,2
74.25,93.49,0
74.33,62.05,0
74.4,74.03,0
74.42,39.98,2
74.53,22.46,2
74.59,29.61,2
74.61,91.69,0
74.9,71.39,0
75.06,83.7,0
75.11,43.92,2
75.22,82.08,0
75.28,27.56,2
75.37,26.75,2
75.42,69.53,0
75.48,52.52,2
75.56,88.56,0
75.57,79.73,0
75.58,54.18,0
75.58,78.48,0
75.66,41.73,2
75.81,77.24,0
75.86,79.3,0
75.89,58.45,0
75.91,38.84,2
75.93,64.19,0
76.04,65.77,0
76.09,29.63,2
76.19,71.36,0
76.39,82.26,0
76.44,57.21,0
76.84,39.82,2
76.87,43.64,2
77.01,40.3,2
77.09,27.41,2
77.18,80.6,0
77.29,54.03,0
77.44,79.89,0
77.57,69.57,0
77.6,26.29,2
77.69,35.52,2
77.71,5.01,2
77.75,23.76,2
77.78,29.19,2
77.8,28.5,2
77.83,67.73,0
77.9,25.32,2
77.98,85.81,0
78.05,85.54,0
78.1,25.41,2
78.12,69.6,0
78.18,33.82,2
78.25,77.11,0
78.48,69.24,0
78.5,17.72,2
78.51,13.55,2
78.74,92.52,0
78.92,81.32,0
78.96,19.47,2
78.99,99.46,0
79.0,62.23,0
79.05,65.51,0
79.06,76.78,0
79.12,18.96,2
79.4,48.03,2
79.43,31.8,2
79.45,68.88,0
79.53,75.3,0
79.61,71.64,0
79.73,66.42,0
79.85,29.28,2
80.09,31.04,2
80.47,43.76,2
80.53,27.75,2
80.68,25.16,2
