annual_income_k,spending_score
33.97,33.58
28.89,35.61
35.18,40.83
42.18,40.54
28.13,16.22
28.13,20.62
42.63,35.15
36.14,35.14
26.24,35.15
34.34,68.53
26.29,35.71
26.27,41.36
31.94,39.54
14.69,36.51
16.2,26.85
25.5,37.59
21.9,22.27
32.51,27.63
22.74,25.15
18.7,30.82
41.73,53.15
28.19,11.33
30.54,36.86
18.6,13.87
25.64,25.28
30.89,40.89
20.79,30.64
33.01,19.22
25.19,22.85
27.67,36.8
25.19,22.7
44.82,32.16
29.89,30.46
21.54,23.48
36.58,51.44
20.23,36.34
31.67,9.75
14.32,31.86
19.37,23.38
31.57,38.52
35.91,22.07
31.37,28.85
29.07,35.05
27.59,38.66
18.17,18.0
24.24,26.65
26.31,25.25
38.46,23.47
32.75,47.65
15.9,34.05
32.59,17.39
26.92,39.18
24.58,51.22
34.89,40.32
38.25,14.81
37.45,25.16
23.29,42.67
27.53,22.92
32.65,34.44
37.8,37.75
26.17,20.73
28.51,29.4
21.15,1.0
20.43,19.76
36.5,27.47
40.85,17.52
29.42,46.32
38.03,15.7
32.89,25.6
24.84,31.31
32.89,44.41
42.3,15.64
29.71,41.63
42.52,30.1
10.0,20.18
36.58,34.62
30.7,31.99
27.61,24.0
30.73,30.7
14.1,26.15
28.24,31.14
32.86,36.62
41.82,45.86
25.85,17.62
23.53,51.33
25.99,10.48
37.32,28.48
32.63,35.88
25.76,32.81
34.11,23.77
30.78,27.92
37.75,25.07
24.38,24.11
27.38,38.5
26.86,33.57
18.29,23.07
32.37,39.0
32.09,33.07
30.04,38.13
28.12,36.3
18.68,21.71
26.63,24.4
27.26,37.47
23.58,36.1
28.71,29.79
33.23,31.17
45.09,42.78
31.4,24.08
32.06,35.47
29.4,27.98
14.65,27.82
29.79,40.99
30.48,38.25
49.71,38.14
28.46,43.05
32.41,30.21
29.72,36.82
20.65,26.9
39.14,33.24
36.02,28.7
36.33,30.97
22.72,35.95
41.22,21.82
18.79,50.92
34.69,19.94
47.52,17.86
22.08,41.58
25.47,37.92
30.8,36.24
25.97,36.28
17.59,29.88
30.55,21.03
21.5,30.76
33.79,23.23
22.64,39.75
42.4,28.53
23.73,21.75
27.42,26.79
36.51,34.13
20.15,24.36
31.82,21.78
40.46,32.44
17.14,32.45
31.48,24.93
32.08,25.29
36.25,32.32
20.1,15.52
19.44,15.93
34.18,22.82
32.38,27.87
32.0,33.11
32.77,44.75
24.56,38.58
31.86,28.4
32.34,29.81
24.29,19.97
44.93,29.81
33.79,27.11
20.47,33.23
35.25,21.73
22.2,35.19
36.3,45.33
39.27,28.91
23.43,34.02
37.71,36.9
33.3,25.99
36.58,32.24
45.17,30.13
28.04,30.98
23.97,22.27
22.88,30.25
23.47,34.98
29.38,44.51
32.73,39.59
32.21,51.53
36.62,22.33
30.1,38.72
41.63,31.83
27.88,51.9
51.76,21.92
35.01,21.6
23.14,24.01
21.43,8.76
33.86,24.74
28.21,22.41
35.71,31.5
33.79,33.42
29.42,48.76
23.23,39.5
17.88,24.23
26.43,21.02
36.85,34.92
31.71,16.8
20.03,48.31
31.39,41.79
33.08,25.31
22.93,12.87
31.23,43.54
30.47,28.85
20.86,42.38
55.87,82.57
67.81,65.78
75.06,83.7
75.56,88.56
69.6,79.13
82.47,93.77
62.19,67.26
73.29,62.55
76.44,57.21
81.17,89.96
83.54,81.54
61.5,74.44
56.59,77.8
90.33,63.75
78.99,99.46
66.02,76.29
93.61,76.09
76.39,82.26
89.15,79.81
75.81,77.24
99.73,67.1
96.06,79.71
72.01,93.82
86.66,88.45
82.74,90.93
91.42,69.89
63.42,65.1
83.23,73.74
87.7,75.56
53.9,85.94
60.8,58.08
50.53,90.3
71.77,73.42
83.61,70.73
93.03,64.88
75.89,58.45
94.54,83.23
58.44,75.73
54.56,62.1
74.33,62.05
79.61,71.64
74.61,91.69
50.19,72.4
73.93,59.97
59.35,72.54
83.04,72.27
79.4,48.03
63.72,74.46
68.83,72.69
62.29,81.96
74.25,93.49
86.46,86.27
63.17,72.31
81.05,63.93
68.64,100.0
65.49,75.59
73.72,75.14
62.58,74.76
68.36,76.98
60.63,73.56
98.58,69.26
75.42,69.53
66.6,74.67
77.57,69.57
73.65,67.87
72.35,76.06
82.37,72.45
84.09,90.04
68.63,48.49
68.09,85.92
71.7,87.46
47.38,54.27
56.82,71.57
91.4,71.29
94.74,60.92
72.01,67.22
81.92,63.89
78.74,92.52
111.95,84.36
88.43,87.72
73.46,82.22
63.53,63.71
55.72,69.75
77.44,79.89
65.92,62.78
57.93,82.13
67.24,72.6
62.02,71.25
95.25,82.11
85.58,79.44
74.9,71.39
92.76,86.59
75.93,64.19
64.66,81.16
93.28,80.93
81.47,71.9
62.55,78.26
72.72,62.49
64.49,84.24
58.41,73.15
86.11,69.77
97.91,85.49
58.22,67.96
81.76,60.92
67.19,59.43
69.15,81.06
67.89,62.2
64.63,92.55
75.58,54.18
65.03,91.96
78.25,77.11
74.4,74.03
72.13,69.55
64.11,78.99
68.08,74.62
84.06,86.03
81.01,76.14
63.27,76.5
76.19,71.36
84.02,74.43
54.97,78.08
81.52,57.9
67.05,61.52
81.85,82.43
65.84,76.71
53.34,73.16
55.47,75.18
75.58,78.48
78.12,69.6
64.15,67.22
82.66,76.96
55.06,65.22
74.21,79.08
60.47,57.97
67.18,85.29
75.57,79.73
64.68,77.56
70.39,84.83
87.08,91.65
68.08,85.14
85.03,56.59
61.44,62.2
81.36,68.75
92.3,75.26
45.34,80.18
65.44,67.74
81.92,76.87
72.56,67.45
79.45,68.88
